feature_x0,feature_x1,target_y
0.869,0.305,0.587
0.669,0.528,0.599
0.378,0.721,0.549
0.084,0.632,0.358
0.270,0.377,0.324
0.137,0.189,0.163
0.119,0.188,0.153
0.725,0.412,0.569
0.256,0.060,0.158
0.985,0.606,0.795
0.422,0.648,0.535
0.394,0.980,0.687
0.197,0.706,0.452
0.415,0.449,0.432
0.246,0.876,0.561
0.646,0.835,0.741
0.176,0.541,0.358
0.984,0.267,0.625
0.283,0.945,0.614
0.747,0.680,0.714
0.901,0.794,0.848
0.131,0.020,0.075
0.768,0.897,0.833
0.980,0.247,0.614
0.830,0.799,0.815
0.078,0.953,0.515
0.060,0.651,0.355
0.631,0.730,0.680
0.342,0.576,0.459
0.551,0.173,0.362
0.176,0.863,0.519
0.528,0.062,0.295
0.400,0.713,0.556
0.974,0.475,0.725
0.864,0.359,0.612
0.175,0.455,0.315
0.848,0.915,0.881
0.954,0.282,0.618
0.795,0.203,0.499
0.766,0.019,0.393
0.609,0.708,0.658
0.320,0.178,0.249
0.513,0.483,0.498
0.184,0.042,0.113
0.560,0.497,0.528
0.354,0.800,0.577
0.070,0.648,0.359
0.951,0.540,0.746
0.532,0.311,0.421
0.156,0.806,0.481
0.208,0.283,0.245
0.780,0.801,0.790
0.085,0.294,0.190
0.221,0.146,0.183
0.653,0.475,0.564
0.101,0.459,0.280
0.740,0.960,0.850
0.436,0.239,0.338
0.351,0.646,0.498
0.039,0.975,0.507
0.991,0.011,0.501
0.204,0.718,0.461
0.008,0.631,0.320
0.427,0.806,0.617
0.373,0.981,0.677
0.665,0.114,0.390
0.080,0.773,0.426
0.336,0.975,0.655
0.346,0.502,0.424
0.588,0.681,0.634
0.461,0.124,0.292
0.003,0.812,0.407
0.289,0.274,0.281
0.436,0.195,0.316
0.746,0.997,0.872
0.354,0.249,0.301
0.105,0.162,0.134
0.917,0.425,0.671
0.464,0.214,0.339
0.705,0.351,0.528
0.735,0.473,0.604
0.240,0.762,0.501
0.744,0.922,0.833
0.392,0.124,0.258
0.076,0.787,0.431
0.184,0.841,0.512
0.871,0.954,0.912
0.445,0.770,0.608
0.936,0.169,0.552
0.512,0.495,0.503
0.151,0.888,0.519
0.766,0.600,0.683
0.068,0.495,0.281
0.023,0.415,0.219
0.397,0.290,0.344
0.273,0.258,0.266
0.475,0.789,0.632
0.534,0.823,0.678
0.453,0.791,0.622
0.066,0.361,0.213
0.926,0.542,0.734
0.030,0.687,0.358
0.259,0.399,0.329
0.553,0.987,0.770
0.258,0.880,0.569
0.147,0.049,0.098
0.502,0.216,0.359
0.255,0.736,0.495
0.334,0.077,0.205
0.208,0.361,0.284
0.139,0.551,0.345
0.842,0.617,0.730
0.172,0.708,0.440
0.881,0.542,0.712
0.005,0.075,0.040
0.802,0.115,0.459
0.437,0.007,0.222
0.729,0.849,0.789
0.581,0.638,0.610
0.845,0.606,0.726
0.262,0.913,0.588
0.239,0.488,0.363
0.314,0.503,0.408
0.389,0.555,0.472
0.725,0.816,0.770
0.584,0.304,0.444
0.572,0.199,0.386
0.430,0.258,0.344
0.976,0.796,0.886
0.520,0.425,0.472
0.535,0.043,0.289
0.472,0.635,0.553
0.218,0.040,0.129
0.481,0.626,0.553
0.762,0.372,0.567
0.586,0.116,0.351
0.378,0.605,0.491
0.203,0.637,0.420
0.713,0.015,0.364
0.250,0.102,0.176
0.206,0.419,0.312
0.903,0.664,0.783
0.889,0.551,0.720
0.402,0.917,0.659
0.672,0.556,0.614
0.118,0.836,0.477
0.876,0.756,0.816
0.559,0.392,0.475
0.459,0.976,0.718
0.208,0.110,0.159
0.729,0.819,0.774
0.039,0.016,0.028
0.479,0.472,0.475
0.826,0.613,0.720
0.825,0.596,0.711
0.023,0.430,0.227
0.254,0.106,0.180
0.646,0.639,0.642
0.182,0.553,0.367
0.652,0.253,0.453
0.533,0.015,0.274
0.576,0.755,0.665
0.926,0.275,0.601
0.562,0.264,0.413
0.009,0.161,0.085
0.236,0.041,0.139
0.978,1.000,0.989
0.312,0.602,0.457
0.799,0.654,0.727
0.664,0.648,0.656
0.889,0.735,0.812
0.769,0.352,0.560
0.271,0.797,0.534
0.535,0.607,0.571
0.791,0.785,0.788
0.068,0.335,0.202
0.965,0.524,0.745
0.838,0.867,0.853
0.482,0.726,0.604
0.197,0.896,0.546
0.397,0.068,0.233
0.234,0.385,0.309
0.198,0.367,0.282
0.740,0.961,0.851
0.458,0.406,0.432
0.393,0.198,0.295
0.018,0.101,0.059
0.752,0.975,0.864
0.296,0.888,0.592
0.495,0.970,0.733
0.739,0.667,0.703
0.983,0.887,0.935
0.245,0.780,0.512
0.651,0.817,0.734
0.595,0.009,0.302
0.998,0.169,0.584
0.675,0.139,0.407
0.129,0.140,0.135
0.597,0.808,0.703
0.442,0.334,0.388
0.339,0.942,0.640
0.285,0.025,0.155
0.997,0.200,0.599
0.502,0.871,0.686
0.085,0.559,0.322
0.958,0.602,0.780
0.637,0.093,0.365
0.602,0.871,0.737
0.815,0.438,0.626
0.637,0.281,0.459
0.850,0.770,0.810
0.398,0.590,0.494
0.064,0.212,0.138
0.382,0.981,0.681
0.336,0.577,0.457
0.678,0.936,0.807
0.620,0.745,0.682
0.090,0.057,0.073
0.166,0.544,0.355
0.949,0.629,0.789
0.506,0.315,0.410
0.328,0.463,0.396
0.459,0.446,0.453
0.673,0.969,0.821
0.528,0.931,0.730
0.335,0.517,0.426
0.306,0.528,0.417
0.017,0.387,0.202
0.635,0.827,0.731
0.824,0.706,0.765
0.868,0.422,0.645
0.370,0.221,0.295
0.366,0.389,0.378
0.113,0.730,0.421
0.678,0.572,0.625
0.792,0.847,0.820
0.831,0.194,0.512
0.808,0.820,0.814
0.324,0.968,0.646
0.866,0.995,0.930
0.553,0.433,0.493
0.399,0.647,0.523
0.210,0.864,0.537
0.132,0.898,0.515
0.590,0.883,0.737
0.103,0.170,0.137
0.743,0.427,0.585
0.149,0.251,0.200
0.779,0.423,0.601
0.283,0.581,0.432
0.901,0.868,0.884
0.314,0.654,0.484
0.548,0.023,0.285
0.818,0.393,0.606
0.617,0.744,0.680
0.312,0.220,0.266
0.316,0.054,0.185
0.962,0.317,0.639
0.826,0.530,0.678
0.541,0.251,0.396
0.414,0.351,0.383
0.535,0.229,0.382
0.937,0.944,0.941
0.930,0.922,0.926
0.721,0.633,0.677
0.078,0.874,0.476
0.981,0.113,0.547
0.478,0.113,0.295
0.157,0.253,0.205
0.903,0.741,0.822
0.710,0.005,0.357
0.874,0.641,0.757
0.491,0.620,0.555
0.785,0.216,0.500
0.219,0.498,0.358
0.127,0.440,0.283
0.563,0.390,0.476
0.046,0.805,0.425
0.953,0.895,0.924
0.584,0.386,0.485
0.576,0.679,0.627
0.349,0.571,0.460
0.278,0.916,0.597
0.181,0.339,0.260
0.580,0.292,0.436
0.636,0.106,0.371
0.823,0.269,0.546
0.889,0.708,0.798
0.023,0.969,0.496
0.825,0.572,0.699
0.682,0.732,0.707
0.371,0.285,0.328
0.140,0.483,0.311
0.327,0.600,0.464
0.345,0.996,0.670
0.145,0.685,0.415
0.510,0.964,0.737
0.366,0.213,0.289
0.402,0.998,0.700
0.074,0.077,0.075
0.303,0.114,0.208
0.314,0.937,0.625
0.854,0.437,0.645
0.180,0.064,0.122
0.218,0.667,0.443
0.219,0.861,0.540
0.679,0.875,0.777
0.292,0.543,0.417
0.080,0.991,0.535
0.069,0.889,0.479
0.008,0.942,0.475
0.344,0.781,0.562
0.893,0.439,0.666
0.632,0.465,0.548
0.344,0.813,0.579
0.146,0.538,0.342
0.409,0.480,0.445
0.016,0.315,0.166
0.175,0.827,0.501
0.385,0.556,0.470
0.761,0.612,0.686
0.521,0.170,0.345
0.875,0.933,0.904
0.764,0.986,0.875
0.456,0.150,0.303
0.354,0.774,0.564
0.991,0.197,0.594
0.806,0.011,0.408
0.510,0.626,0.568
0.922,0.625,0.773
0.376,0.010,0.193
0.951,0.648,0.799
0.493,0.746,0.620
0.977,0.654,0.816
0.289,0.675,0.482
0.980,0.167,0.574
0.789,0.652,0.721
0.342,0.617,0.479
0.524,0.650,0.587
0.676,0.045,0.360
0.606,0.081,0.344
0.188,0.379,0.283
0.225,0.428,0.327
0.899,0.105,0.502
0.097,0.925,0.511
0.772,0.562,0.667
0.163,0.100,0.132
0.586,0.641,0.614
0.211,0.822,0.516
0.891,0.114,0.502
0.120,0.738,0.429
0.095,0.950,0.522
0.105,0.124,0.115
0.346,0.213,0.280
0.430,0.359,0.395
0.282,0.332,0.307
0.618,0.810,0.714
0.094,0.961,0.527
0.466,0.786,0.626
0.403,0.627,0.515
0.329,0.082,0.205
0.623,0.036,0.330
0.635,0.917,0.776
0.696,0.375,0.535
0.253,0.450,0.351
0.384,0.050,0.217
0.842,0.318,0.580
0.701,0.625,0.663
0.152,0.505,0.329
0.643,0.780,0.712
0.445,0.939,0.692
0.293,0.973,0.633
0.337,0.858,0.598
0.587,0.449,0.518
0.959,0.656,0.807
0.229,0.209,0.219
0.522,0.080,0.301
0.444,0.245,0.344
0.043,0.880,0.462
0.487,0.456,0.471
0.438,0.349,0.394
0.440,0.143,0.291
0.466,0.670,0.568
0.124,0.057,0.090
0.805,0.774,0.789
0.539,0.566,0.552
0.620,0.145,0.383
0.261,0.152,0.206
0.011,0.481,0.246
0.096,0.130,0.113
0.411,0.341,0.376
0.561,0.568,0.565
0.058,0.030,0.044
0.607,0.790,0.699
0.492,0.098,0.295
0.366,0.733,0.549
0.375,0.161,0.268
0.032,0.239,0.136
0.028,0.119,0.073
0.734,0.891,0.812
0.995,0.167,0.581
0.061,0.386,0.224
0.876,0.790,0.833
0.829,0.679,0.754
0.822,0.511,0.666
0.411,0.919,0.665
0.169,0.569,0.369
0.898,0.129,0.513
0.465,0.041,0.253
0.942,0.963,0.953
0.165,0.493,0.329
0.578,0.884,0.731
0.342,0.305,0.324
0.787,0.445,0.616
0.661,0.156,0.408
0.966,0.711,0.839
0.425,0.833,0.629
0.428,0.944,0.686
0.778,0.292,0.535
0.223,0.177,0.200
0.500,0.371,0.435
0.421,0.605,0.513
0.799,0.409,0.604
0.268,0.492,0.380
0.454,0.446,0.450
0.766,0.253,0.509
0.624,0.926,0.775
0.301,0.561,0.431
0.126,0.116,0.121
0.045,0.022,0.034
0.375,0.234,0.304
0.121,0.676,0.399
0.780,0.301,0.540
0.885,0.584,0.735
0.700,0.208,0.454
0.237,0.867,0.552
0.822,0.901,0.862
0.493,0.411,0.452
0.476,0.042,0.259
0.293,0.724,0.508
0.864,0.698,0.781
0.485,0.714,0.600
0.551,0.099,0.325
0.986,0.627,0.806
0.343,0.458,0.401
0.745,0.885,0.815
0.420,0.996,0.708
0.577,0.880,0.729
0.053,0.726,0.390
0.069,0.090,0.080
0.093,0.586,0.340
0.484,0.204,0.344
0.483,0.894,0.689
0.923,0.453,0.688
0.048,0.033,0.041
0.154,0.298,0.226
0.245,0.971,0.608
0.553,0.406,0.479
0.487,0.516,0.501
0.516,0.799,0.657
0.375,0.442,0.408
0.312,0.622,0.467
0.806,0.203,0.504
0.470,0.551,0.510
0.463,0.863,0.663
0.596,0.458,0.527
0.298,0.549,0.423
0.915,0.023,0.469
0.711,0.278,0.494
0.585,0.343,0.464
0.295,0.290,0.292
0.042,0.222,0.132
0.421,0.467,0.444
0.846,0.609,0.728
0.726,0.305,0.515
0.684,0.652,0.668
0.601,0.939,0.770
0.315,0.707,0.511
0.222,0.689,0.456
0.270,0.957,0.614
0.762,0.690,0.726
0.375,0.765,0.570
0.979,0.692,0.836
0.816,0.685,0.750
0.157,0.432,0.294
0.955,0.446,0.701
0.397,0.254,0.326
0.670,0.541,0.606
0.129,0.780,0.455
0.460,0.767,0.614
0.521,0.510,0.515
0.050,0.660,0.355
0.491,0.355,0.423
0.875,0.668,0.771
0.078,0.370,0.224
0.810,0.735,0.772
0.568,0.323,0.446
0.412,0.919,0.665
0.889,0.613,0.751
0.174,0.995,0.585
0.275,0.516,0.396
0.483,0.330,0.406
0.569,0.051,0.310
0.590,0.649,0.620
0.646,0.110,0.378
0.888,0.499,0.694
0.094,0.298,0.196
0.813,0.894,0.854
0.675,0.098,0.387
0.415,0.207,0.311
0.922,0.877,0.899
0.562,0.935,0.749
0.860,0.746,0.803
0.061,0.974,0.517
0.247,0.832,0.539
0.371,0.093,0.232
0.617,0.759,0.688
0.977,0.538,0.757
0.267,0.038,0.152
0.106,0.953,0.529
0.654,0.446,0.550
0.067,0.799,0.433
0.543,0.368,0.456
0.978,0.887,0.932
0.139,0.290,0.214
0.578,0.772,0.675
0.111,0.700,0.406
0.488,0.351,0.419
0.563,0.227,0.395
0.487,0.765,0.626
0.303,0.843,0.573
0.982,0.511,0.747
0.153,0.496,0.325
0.931,0.340,0.635
0.870,0.605,0.738
0.307,0.009,0.158
0.719,0.179,0.449
0.655,0.256,0.456
0.818,0.581,0.700
0.777,0.101,0.439
0.764,0.213,0.488
0.416,0.207,0.311
0.788,0.593,0.691
0.704,0.948,0.826
0.813,0.177,0.495
0.252,0.104,0.178
0.385,0.019,0.202
0.882,0.278,0.580
0.749,0.344,0.546
0.589,0.673,0.631
0.714,0.541,0.627
0.642,0.052,0.347
0.640,0.500,0.570
0.812,0.876,0.844
0.354,0.384,0.369
0.534,0.863,0.699
0.292,0.405,0.348
0.880,0.359,0.620
0.594,0.016,0.305
0.871,0.512,0.692
0.279,0.421,0.350
0.690,0.135,0.412
0.884,0.777,0.831
0.298,0.272,0.285
0.099,0.521,0.310
0.663,0.355,0.509
0.792,0.052,0.422
0.721,0.936,0.829
0.306,0.639,0.472
0.748,0.144,0.446
0.520,0.401,0.461
0.663,0.623,0.643
0.895,0.002,0.449
0.844,0.251,0.547
0.804,0.511,0.657
0.848,0.001,0.424
0.744,0.005,0.374
0.826,0.383,0.605
0.324,0.653,0.488
0.310,0.330,0.320
0.635,0.875,0.755
0.097,0.082,0.089
0.855,0.803,0.829
0.127,0.418,0.273
0.586,0.806,0.696
0.432,0.009,0.221
0.256,0.719,0.487
0.229,0.368,0.298
0.802,0.978,0.890
0.960,0.664,0.812
0.575,0.524,0.549
0.438,0.424,0.431
0.991,0.088,0.539
0.113,0.179,0.146
0.305,0.177,0.241
0.576,0.158,0.367
0.563,0.662,0.613
0.229,0.350,0.289
0.324,0.110,0.217
0.095,0.840,0.468
0.247,0.880,0.564
0.350,0.748,0.549
0.692,0.091,0.392
0.638,0.504,0.571
0.818,0.839,0.829
0.357,0.276,0.317
0.098,0.876,0.487
0.054,0.342,0.198
0.982,0.106,0.544
0.341,0.368,0.354
0.884,0.220,0.552
0.761,0.168,0.465
0.547,0.357,0.452
0.258,0.382,0.320
0.530,0.720,0.625
0.269,0.070,0.170
0.340,0.651,0.495
0.421,0.240,0.331
0.033,0.721,0.377
0.598,0.128,0.363
0.790,0.370,0.580
0.228,0.531,0.380
0.467,0.497,0.482
0.388,0.623,0.505
0.466,0.786,0.626
0.721,0.319,0.520
0.770,0.852,0.811
0.175,0.970,0.573
0.678,0.207,0.443
0.388,0.535,0.462
0.772,0.839,0.805
0.053,0.959,0.506
0.627,0.500,0.564
0.016,0.393,0.204
0.355,0.357,0.356
0.591,0.374,0.482
0.845,0.995,0.920
0.606,0.863,0.735
0.287,0.519,0.403
0.808,0.028,0.418
0.039,0.636,0.338
0.298,0.963,0.630
0.403,0.056,0.230
0.011,0.450,0.231
0.983,0.715,0.849
0.255,0.456,0.355
0.313,0.439,0.376
0.744,0.097,0.420
0.582,0.246,0.414
0.429,0.226,0.328
0.874,0.678,0.776
0.368,0.684,0.526
0.924,0.388,0.656
0.130,0.042,0.086
0.841,0.731,0.786
0.572,0.026,0.299
0.704,0.860,0.782
0.455,0.129,0.292
0.497,0.724,0.611
0.362,0.080,0.221
0.935,0.469,0.702
0.051,0.978,0.514
0.372,0.338,0.355
0.486,0.780,0.633
0.691,0.260,0.475
0.470,0.813,0.641
0.066,0.016,0.041
0.283,0.543,0.413
0.018,0.371,0.195
0.922,0.912,0.917
0.941,0.747,0.844
0.988,0.195,0.592
0.345,0.480,0.412
0.263,0.769,0.516
0.965,0.510,0.738
0.360,0.892,0.626
0.967,0.285,0.626
0.467,0.923,0.695
0.639,0.511,0.575
0.379,0.320,0.349
0.557,0.443,0.500
0.551,0.572,0.561
0.537,0.523,0.530
0.640,0.779,0.710
0.162,0.114,0.138
0.958,0.646,0.802
0.471,0.411,0.441
0.590,0.346,0.468
0.413,0.955,0.684
0.093,0.729,0.411
0.644,0.828,0.736
0.394,0.347,0.370
0.480,0.654,0.567
0.583,0.650,0.617
0.644,0.050,0.347
0.476,0.105,0.290
0.293,0.004,0.148
0.379,0.452,0.415
0.335,0.436,0.386
0.981,0.927,0.954
0.987,0.527,0.757
0.067,0.484,0.276
0.987,0.700,0.844
0.002,0.161,0.082
0.086,0.937,0.511
0.604,0.789,0.697
0.196,0.284,0.240
0.051,0.710,0.381
0.460,0.352,0.406
0.938,0.734,0.836
0.702,0.164,0.433
0.800,0.916,0.858
0.827,0.490,0.658
0.868,0.552,0.710
0.691,0.141,0.416
0.488,0.612,0.550
0.756,0.570,0.663
0.702,0.995,0.849
0.157,0.238,0.198
0.384,0.444,0.414
0.196,0.833,0.514
0.024,0.550,0.287
0.501,0.676,0.589
0.496,0.789,0.642
0.855,0.057,0.456
0.738,0.793,0.765
0.423,0.407,0.415
0.284,0.647,0.466
0.708,0.830,0.769
0.578,0.575,0.577
0.856,0.881,0.869
0.105,0.356,0.231
0.263,0.701,0.482
0.173,0.263,0.218
0.901,0.875,0.888
0.231,0.517,0.374
0.289,0.522,0.406
0.905,0.123,0.514
0.337,0.330,0.334
0.058,0.173,0.116
0.552,0.270,0.411
0.089,0.346,0.217
0.250,0.332,0.291
0.157,0.489,0.323
0.928,0.713,0.821
0.367,0.594,0.480
0.076,0.541,0.308
0.525,0.658,0.592
0.728,0.993,0.861
0.626,0.152,0.389
0.445,0.793,0.619
0.374,0.250,0.312
0.187,0.217,0.202
0.633,0.950,0.791
0.218,0.157,0.188
0.036,0.606,0.321
0.799,0.950,0.875
0.193,0.562,0.378
0.442,0.931,0.686
0.434,0.897,0.665
0.430,0.261,0.345
0.638,0.543,0.591
0.382,0.723,0.552
0.122,0.079,0.101
0.234,0.200,0.217
0.790,0.106,0.448
0.087,0.159,0.123
0.934,0.777,0.856
0.715,0.782,0.749
0.168,0.590,0.379
0.982,0.689,0.836
0.289,0.517,0.403
0.341,0.639,0.490
0.089,0.162,0.126
0.863,0.886,0.875
0.596,0.813,0.705
0.250,0.012,0.131
0.235,0.716,0.475
0.860,0.750,0.805
0.737,0.860,0.798
0.711,0.406,0.558
0.646,0.615,0.630
0.320,0.723,0.521
0.137,0.777,0.457
0.444,0.016,0.230
0.921,0.955,0.938
0.213,0.718,0.466
0.841,0.762,0.801
0.012,0.703,0.357
0.830,0.605,0.718
0.921,0.170,0.545
0.615,0.746,0.680
0.386,0.661,0.523
0.048,0.547,0.297
0.601,0.629,0.615
0.032,0.729,0.381
0.027,0.704,0.365
0.604,0.890,0.747
0.653,0.676,0.664
0.696,0.166,0.431
0.387,0.580,0.483
0.022,0.190,0.106
0.227,0.172,0.200
0.363,0.220,0.291
0.630,0.496,0.563
0.079,0.174,0.127
0.036,0.289,0.163
0.837,0.223,0.530
0.343,0.249,0.296
0.257,0.308,0.282
0.490,0.258,0.374
0.680,0.747,0.714
0.933,0.301,0.617
0.961,0.012,0.486
0.120,0.196,0.158
0.497,0.104,0.300
0.438,0.681,0.559
0.078,0.134,0.106
0.724,0.933,0.829
0.586,0.273,0.429
0.454,0.114,0.284
0.204,0.792,0.498
0.257,0.580,0.418
0.500,0.800,0.650
0.547,0.171,0.359
0.458,0.163,0.310
0.455,0.091,0.273
0.620,0.757,0.689
0.839,0.268,0.553
0.044,0.043,0.043
0.504,0.046,0.275
0.152,0.075,0.114
0.904,0.547,0.726
0.793,0.226,0.509
0.672,0.375,0.523
0.999,0.431,0.715
0.575,0.584,0.580
0.182,0.708,0.445
0.247,0.315,0.281
0.996,0.656,0.826
0.031,0.524,0.278
0.750,0.089,0.419
0.120,0.868,0.494
0.038,0.155,0.097
0.555,0.785,0.670
0.127,0.749,0.438
0.982,0.408,0.695
0.194,0.138,0.166
0.743,0.656,0.700
0.097,0.519,0.308
0.696,0.751,0.724
0.096,0.823,0.460
0.461,0.389,0.425
0.680,0.094,0.387
0.230,0.118,0.174
0.703,0.472,0.588
0.292,0.458,0.375
0.341,0.662,0.501
0.671,0.617,0.644
0.579,0.962,0.770
0.783,0.939,0.861
0.007,0.927,0.467
0.246,0.407,0.327
0.662,0.528,0.595
0.443,0.260,0.351
0.306,0.500,0.403
0.052,0.633,0.343
0.805,0.344,0.575
0.317,0.090,0.203
0.474,0.478,0.476
0.036,0.870,0.453
0.183,0.343,0.263
0.756,0.230,0.493
0.213,0.437,0.325
0.488,0.237,0.362
0.824,0.269,0.546
0.729,0.217,0.473
0.794,0.066,0.430
0.471,0.488,0.479
0.803,0.670,0.737
0.689,0.340,0.514
0.676,0.639,0.657
0.403,0.827,0.615
0.633,0.476,0.554
0.832,0.029,0.430
0.162,0.099,0.131
0.265,0.310,0.287
0.236,0.095,0.166
0.612,0.194,0.403
0.671,0.981,0.826
0.629,0.078,0.353
0.889,0.589,0.739
0.800,0.067,0.433
0.007,0.398,0.203
0.839,0.730,0.784
0.797,0.080,0.439
0.386,0.706,0.546
0.121,0.128,0.124
0.527,0.743,0.635
0.014,0.535,0.275
0.419,0.452,0.435
0.487,0.961,0.724
0.053,0.497,0.275
0.004,0.230,0.117
0.111,0.977,0.544
0.124,0.383,0.254
0.212,0.329,0.271
0.615,0.320,0.468
0.146,0.205,0.175
0.668,0.110,0.389
0.380,0.260,0.320
0.102,0.983,0.542
0.040,0.104,0.072
0.208,0.175,0.192
0.591,0.266,0.428
0.122,0.924,0.523
0.460,0.481,0.470
0.521,0.286,0.404
0.686,0.343,0.514
0.599,0.415,0.507
0.008,0.653,0.331
0.466,0.611,0.538
0.617,0.683,0.650
0.765,0.855,0.810
0.374,0.765,0.570
0.285,0.859,0.572
0.798,0.516,0.657
0.869,0.597,0.733
0.556,0.359,0.458
0.682,0.687,0.684
0.124,0.350,0.237
0.788,0.785,0.786
0.643,0.596,0.620
0.042,0.354,0.198
0.817,0.307,0.562
0.927,0.481,0.704
0.040,0.057,0.049
0.007,0.860,0.433
0.524,0.958,0.741
0.996,0.301,0.648
0.174,0.981,0.578
0.611,0.436,0.523
0.186,0.303,0.244
0.395,0.857,0.626
0.492,0.388,0.440
0.207,0.435,0.321
0.240,0.222,0.231
0.145,0.344,0.244
0.497,0.644,0.571
0.271,0.449,0.360
0.111,0.940,0.525
0.924,0.811,0.868
0.046,0.797,0.421
0.385,0.608,0.496
0.403,0.550,0.476
0.815,0.049,0.432
0.153,0.541,0.347
0.600,0.502,0.551
0.832,0.884,0.858
0.234,0.653,0.444
0.350,0.521,0.435
0.346,0.805,0.576
0.124,0.265,0.195
0.343,0.031,0.187
0.472,0.427,0.450
0.392,0.056,0.224
0.516,0.435,0.475
0.348,0.187,0.268
0.174,0.982,0.578
0.767,0.478,0.623
0.998,0.927,0.963
0.109,0.736,0.422
0.266,0.304,0.285
0.347,0.851,0.599
0.117,0.905,0.511
0.444,0.305,0.374
0.563,0.511,0.537
0.815,0.403,0.609
0.759,0.501,0.630
0.881,0.160,0.520
0.846,0.401,0.624
0.817,0.395,0.606
0.616,0.271,0.444
0.958,0.206,0.582
0.474,0.507,0.490
0.548,0.813,0.680
0.985,0.706,0.846
0.772,0.735,0.753
0.301,0.266,0.283
0.945,0.472,0.709
0.402,0.998,0.700
0.258,0.857,0.557
0.890,0.460,0.675
0.321,0.009,0.165
0.984,0.406,0.695
0.027,0.651,0.339
0.728,0.849,0.788
0.061,0.216,0.139
0.859,0.120,0.489
0.372,0.480,0.426
0.234,0.373,0.303
0.261,0.474,0.367
0.544,0.285,0.414
0.867,0.286,0.577
0.682,0.804,0.743
0.226,0.098,0.162
0.852,0.898,0.875
0.137,0.286,0.211
0.396,0.928,0.662
0.026,0.930,0.478
0.713,0.831,0.772
0.901,0.681,0.791
0.975,0.670,0.823
0.658,0.456,0.557
0.414,0.217,0.316
0.943,0.497,0.720
0.181,0.593,0.387
0.653,0.907,0.780
0.702,0.461,0.582
0.348,0.598,0.473
0.668,0.790,0.729
0.819,0.097,0.458
0.769,0.769,0.769
0.075,0.144,0.110
0.513,0.470,0.491
0.367,0.419,0.393
0.466,0.085,0.276
0.601,0.954,0.777
0.944,0.758,0.851
0.197,0.820,0.508
0.927,0.474,0.701
0.602,0.903,0.752
0.613,0.992,0.802
0.036,0.594,0.315
0.333,0.336,0.335
0.804,0.859,0.832
0.200,0.083,0.141
0.847,0.173,0.510
0.698,0.487,0.593
0.606,0.619,0.613
0.964,0.271,0.618
0.882,0.657,0.769
0.826,0.886,0.856
0.766,0.983,0.875
0.785,0.056,0.420
0.371,0.542,0.457
0.243,0.746,0.494
0.204,0.024,0.114
0.174,0.282,0.228
0.693,0.016,0.354
0.191,0.008,0.100
0.354,0.685,0.519
0.968,0.002,0.485
0.281,0.717,0.499
0.669,0.407,0.538
0.144,0.600,0.372
0.648,0.569,0.609
0.959,0.038,0.498
0.937,0.465,0.701
0.442,0.144,0.293
0.935,0.788,0.862
0.027,0.032,0.029
0.153,0.084,0.118
0.445,0.793,0.619
0.787,0.030,0.408
0.019,0.524,0.272
0.916,0.653,0.784
0.395,0.575,0.485
0.639,0.225,0.432
0.608,0.696,0.652
0.859,0.208,0.533
0.332,0.063,0.198
0.836,0.302,0.569
0.175,0.125,0.150
0.307,0.863,0.585
0.294,0.290,0.292
0.148,0.534,0.341
0.273,0.990,0.631
0.498,0.497,0.497
0.554,0.996,0.775
0.934,0.558,0.746
0.928,0.589,0.758
0.034,0.004,0.019
0.262,0.857,0.559
0.991,0.118,0.554
0.714,0.983,0.849
0.230,0.550,0.390
0.880,0.900,0.890
0.304,0.806,0.555
0.059,0.357,0.208
0.843,0.458,0.650
0.365,0.577,0.471
0.084,0.424,0.254
0.699,0.509,0.604
0.657,0.727,0.692
0.474,0.036,0.255
0.304,0.780,0.542
0.376,0.155,0.266
0.389,0.168,0.279
0.692,0.102,0.397
0.794,0.647,0.721
0.582,0.923,0.752
0.073,0.114,0.093
0.526,0.491,0.508
0.434,0.859,0.646
0.904,0.243,0.574
0.609,0.077,0.343
0.585,0.489,0.537
0.583,0.282,0.432
0.096,0.948,0.522
0.139,0.960,0.549
0.577,0.776,0.676
0.912,0.241,0.577
0.001,0.553,0.277
0.858,0.979,0.918
0.706,0.052,0.379
0.088,0.643,0.365
0.525,0.386,0.456
0.571,0.589,0.580
0.823,0.461,0.642
0.134,0.184,0.159
0.705,0.238,0.471
0.535,0.799,0.667
0.354,0.758,0.556
0.887,0.238,0.562
0.471,0.790,0.630
0.069,0.057,0.063
0.164,0.877,0.520
0.771,0.221,0.496
0.938,0.811,0.875
0.413,0.403,0.408
0.633,0.275,0.454
0.249,0.419,0.334
0.425,0.990,0.708
0.112,0.811,0.462
0.606,0.892,0.749
0.102,0.293,0.198
0.419,0.762,0.591
0.721,0.255,0.488
0.530,0.348,0.439
0.822,0.397,0.610
0.323,0.677,0.500
0.114,0.838,0.476
0.996,0.602,0.799
0.464,0.775,0.620
0.539,0.906,0.723
0.687,0.563,0.625
0.189,0.063,0.126
0.963,0.504,0.734
0.226,0.174,0.200
0.706,0.933,0.820
0.849,0.879,0.864
0.145,0.774,0.460
0.540,0.488,0.514
0.990,0.715,0.853
0.554,0.347,0.451
0.357,0.800,0.579
0.571,0.177,0.374
0.294,0.337,0.316
0.597,0.761,0.679
0.650,0.801,0.726
0.460,0.456,0.458
0.566,0.386,0.476
0.975,0.689,0.832
0.834,0.589,0.712
